participant,style,attackA,releaseA,attackB,releaseB,pref
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,HipHop,F,S,S,S,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,HipHop,F,F,S,F,1
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,F,F,S,S,0
AvChfKd0lXAHWApDasbDgngf45ITy059,Jazz,F,F,S,S,0
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,F,S,S,F,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,F,S,S,F,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,S,F,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Jazz,F,F,S,S,1
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,F,F,S,S,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Jazz,F,F,S,S,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,F,S,S,F,1
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,F,S,S,F,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,S,F,S,S,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Jazz,F,F,S,S,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Jazz,S,F,S,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,F,F,S,F,0
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,F,F,S,S,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,F,F,S,F,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Jazz,F,F,F,S,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,S,S,F,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,F,S,S,F,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,F,F,F,S,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,F,F,S,F,1
AvChfKd0lXAHWApDasbDgngf45ITy059,Jazz,F,S,S,S,1
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,F,F,S,S,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,F,S,S,F,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,F,F,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Jazz,F,S,S,S,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,F,F,S,S,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Jazz,S,F,S,S,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,S,F,S,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,S,F,S,S,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,F,F,S,F,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Jazz,F,F,F,S,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Jazz,F,F,F,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,F,F,S,S,0
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,F,F,F,S,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,F,S,S,S,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Jazz,F,S,S,F,1
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,F,S,F,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,F,S,S,F,1
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,F,F,S,S,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,F,F,S,S,1
AvChfKd0lXAHWApDasbDgngf45ITy059,Jazz,F,F,S,S,1
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,F,F,S,F,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,F,S,S,S,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,F,F,F,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Jazz,F,F,S,S,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,F,F,F,S,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Jazz,F,S,S,F,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,S,F,S,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,F,S,S,S,1
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,F,F,F,S,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Jazz,S,F,S,S,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Jazz,F,S,S,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,F,F,F,S,0
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,F,F,F,S,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,F,F,S,F,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Jazz,F,F,F,S,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,F,S,S,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,F,F,S,F,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,F,F,S,F,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,F,F,F,S,0
AvChfKd0lXAHWApDasbDgngf45ITy059,Jazz,F,F,F,S,1
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,F,S,S,S,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,S,F,S,S,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,S,F,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Jazz,F,S,S,S,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,F,F,F,S,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Jazz,F,S,S,F,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,F,F,F,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,F,F,S,S,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,F,S,S,S,1
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Jazz,F,F,S,S,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Jazz,F,S,S,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,S,F,S,S,1
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,F,F,S,F,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,F,F,S,F,1
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Jazz,F,F,F,S,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,S,S,F,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,S,F,S,S,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,F,F,S,F,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,F,F,F,S,0
AvChfKd0lXAHWApDasbDgngf45ITy059,Jazz,S,F,S,S,1
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,S,F,S,S,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,S,F,S,S,1
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,S,F,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Jazz,F,F,F,S,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,F,F,F,S,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Jazz,F,F,F,S,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,F,F,S,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,F,F,S,S,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,F,F,F,S,1
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Jazz,F,F,F,S,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Jazz,F,S,S,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,F,S,S,S,1
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,S,F,S,S,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,F,F,F,S,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Jazz,F,F,S,F,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,S,F,S,S,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,S,F,S,S,1
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,F,S,S,S,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,F,F,S,F,0
AvChfKd0lXAHWApDasbDgngf45ITy059,Jazz,S,F,S,S,0
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,F,S,S,F,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,F,S,S,S,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,F,S,S,F,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Jazz,F,S,S,S,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,F,S,S,S,1
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Jazz,F,S,S,F,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,S,F,S,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,F,F,F,S,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,F,S,S,F,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Jazz,F,F,S,S,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Jazz,F,S,S,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,F,S,S,S,1
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,F,S,S,S,1
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,F,F,S,F,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Jazz,F,F,S,F,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,F,F,S,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,F,F,F,S,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,F,F,S,F,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,F,S,S,F,0
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,F,S,S,F,1
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Rock,F,S,S,S,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Rock,F,F,S,S,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,F,F,S,F,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,F,F,S,S,1
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,F,F,S,F,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Rock,S,F,S,S,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,S,F,S,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Rock,F,S,S,F,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,S,F,S,S,1
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,F,F,S,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Rock,S,F,S,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Rock,F,F,S,S,1
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,F,S,S,S,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,F,S,S,S,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,F,S,S,S,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Rock,F,S,S,F,1
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Rock,F,S,S,F,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Rock,S,F,S,S,1
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,F,F,S,S,1
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,F,F,S,S,0
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Rock,F,S,S,S,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Rock,F,F,S,F,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,F,F,S,F,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,F,S,S,F,1
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,S,F,S,S,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Rock,F,F,F,S,1
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,S,F,S,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Rock,F,S,S,F,1
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,F,F,F,S,1
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,F,S,F,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Rock,F,F,F,S,1
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Rock,F,F,F,S,1
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,F,F,S,F,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,S,F,S,S,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,F,F,S,S,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Rock,F,S,S,S,1
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Rock,F,S,S,F,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Rock,F,S,S,S,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,F,F,S,S,1
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,F,S,S,F,0
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Rock,F,S,S,F,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Rock,F,S,S,S,1
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,F,S,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,F,S,S,S,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,F,F,S,F,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Rock,F,S,S,F,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,S,S,F,1
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Rock,F,F,F,S,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,F,F,F,S,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,S,S,S,1
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Rock,F,F,F,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Rock,F,F,S,F,0
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,F,F,S,S,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,F,F,S,F,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,F,S,S,S,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Rock,F,S,S,S,1
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Rock,F,S,S,F,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Rock,F,S,S,S,1
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,S,F,S,S,1
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,F,F,S,F,1
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Rock,S,F,S,S,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Rock,F,S,S,F,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,F,S,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,F,F,F,S,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,F,S,S,S,0
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Rock,F,F,S,F,1
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,F,S,F,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Rock,F,S,S,S,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,F,F,S,F,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,S,S,S,1
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Rock,F,F,S,F,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Rock,F,F,S,F,1
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,F,F,S,S,1
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,S,F,S,S,1
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,F,S,S,S,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Rock,F,S,S,S,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Rock,F,F,F,S,1
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Rock,F,F,S,F,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,F,S,S,F,0
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,F,S,S,F,0
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Rock,F,F,F,S,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Rock,F,F,F,S,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,F,F,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,F,S,S,F,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,F,F,S,S,1
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Rock,F,F,S,F,1
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,S,S,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Rock,F,F,S,F,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,F,F,S,F,1
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,F,S,F,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Rock,F,F,F,S,0
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Rock,F,F,F,S,1
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,S,F,S,S,0
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,F,F,S,F,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,F,S,S,F,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Rock,F,F,S,S,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Rock,S,F,S,S,1
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Rock,F,F,S,S,0
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,F,F,S,F,1
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,F,S,S,F,0
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Rock,F,S,S,S,0
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Rock,F,F,S,S,0
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,F,S,S,S,0
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,F,S,S,F,0
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,S,F,S,S,1
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Rock,F,S,S,F,0
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,F,F,S,0
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Rock,F,S,S,S,0
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,F,F,S,S,0
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,F,S,F,0
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Rock,S,F,S,S,1
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Rock,F,S,S,S,1
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,F,S,S,S,1
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,F,S,S,F,0
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,S,F,S,S,0
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Rock,F,F,S,F,0
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Rock,F,F,S,S,0
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Rock,F,S,S,F,1
