participant,style,attack,release,descriptor,trackName
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,HipHop,S,F,Soft,HipHop-SF-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,S,Soft,Rock-FS-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,HipHop,S,F,Punchy,HipHop-SF-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,EDM,S,S,Pillowy,EDM-SS-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,EDM,F,S,Punchy,EDM-FS-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,HipHop,F,S,Soft,HipHop-FS-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,S,S,Pillowy,Rock-SS-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,S,F,Staccato,Jazz-SF-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,EDM,S,S,Staccato,EDM-SS-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,F,F,Hard,Jazz-FF-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,HipHop,S,S,Hard,HipHop-SS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,EDM,F,S,Pillowy,EDM-FS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,HipHop,F,F,Punchy,HipHop-FF-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,HipHop,F,S,Hard,HipHop-FS-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,S,Smooth,Jazz-FS-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,HipHop,S,F,Soft,HipHop-SF-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,HipHop,S,F,Hard,HipHop-SF-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,HipHop,F,S,Punchy,HipHop-FS-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,HipHop,F,S,Hard,HipHop-FS-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,HipHop,F,F,Punchy,HipHop-FF-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,EDM,F,S,Punchy,EDM-FS-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,EDM,F,F,Smooth,EDM-FF-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,HipHop,F,S,Punchy,HipHop-FS-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,S,S,Hard,Jazz-SS-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,HipHop,F,F,Smooth,HipHop-FF-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,F,S,Soft,Jazz-FS-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,F,S,Punchy,Rock-FS-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,EDM,S,S,Smooth,EDM-SS-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,EDM,F,F,Staccato,EDM-FF-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,S,Staccato,Rock-FS-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,F,S,Pillowy,Rock-FS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,S,S,Pillowy,Jazz-SS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,EDM,F,S,Punchy,EDM-FS-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,F,S,Staccato,Jazz-FS-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,EDM,S,F,Hard,EDM-SF-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,S,F,Staccato,Jazz-SF-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,S,S,Punchy,Rock-SS-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,F,S,Soft,Rock-FS-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,HipHop,S,S,Hard,HipHop-SS-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Rock,S,F,Punchy,Rock-SF-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,HipHop,F,F,Pillowy,HipHop-FF-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,S,F,Soft,Rock-SF-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,HipHop,S,S,Punchy,HipHop-SS-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,EDM,S,F,Staccato,EDM-SF-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Rock,S,F,Pillowy,Rock-SF-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Jazz,S,F,Soft,Jazz-SF-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,EDM,S,F,Hard,EDM-SF-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,HipHop,S,S,Pillowy,HipHop-SS-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,F,F,Hard,Rock-FF-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,F,Punchy,Rock-FF-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,S,S,Hard,Jazz-SS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,HipHop,S,S,Smooth,HipHop-SS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,S,S,Pillowy,Jazz-SS-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,S,F,Soft,Rock-SF-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,F,S,Smooth,Jazz-FS-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,HipHop,S,F,Soft,HipHop-SF-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,F,S,Hard,Rock-FS-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,S,S,Smooth,Rock-SS-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,S,F,Soft,Rock-SF-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,F,F,Smooth,Jazz-FF-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,Rock,S,S,Smooth,Rock-SS-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,HipHop,F,F,Hard,HipHop-FF-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Rock,S,S,Soft,Rock-SS-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,F,F,Hard,Jazz-FF-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,EDM,F,F,Hard,EDM-FF-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,S,S,Soft,Rock-SS-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,S,S,Smooth,Jazz-SS-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Rock,F,S,Soft,Rock-FS-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,S,S,Pillowy,Rock-SS-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,HipHop,S,S,Staccato,HipHop-SS-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Rock,S,F,Pillowy,Rock-SF-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Jazz,F,S,Soft,Jazz-FS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,F,S,Soft,Jazz-FS-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,F,F,Punchy,Rock-FF-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,EDM,S,F,Staccato,EDM-SF-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,S,S,Pillowy,Rock-SS-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Rock,S,S,Hard,Rock-SS-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,S,F,Punchy,Jazz-SF-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,Rock,S,S,Soft,Rock-SS-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,HipHop,S,F,Soft,HipHop-SF-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,HipHop,S,S,Soft,HipHop-SS-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,HipHop,F,F,Punchy,HipHop-FF-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Rock,S,F,Staccato,Rock-SF-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,HipHop,F,S,Soft,HipHop-FS-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,F,F,Punchy,Jazz-FF-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,HipHop,S,F,Staccato,HipHop-SF-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,EDM,S,F,Staccato,EDM-SF-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Rock,S,S,Pillowy,Rock-SS-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,HipHop,F,F,Hard,HipHop-FF-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Jazz,S,F,Punchy,Jazz-SF-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,EDM,S,S,Staccato,EDM-SS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,EDM,S,F,Hard,EDM-SF-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Rock,F,F,Hard,Rock-FF-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,HipHop,S,F,Hard,HipHop-SF-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,S,S,Soft,Jazz-SS-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,S,S,Pillowy,Rock-SS-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,Jazz,F,F,Smooth,Jazz-FF-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,S,F,Smooth,Jazz-SF-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,HipHop,S,F,Staccato,HipHop-SF-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,Jazz,S,S,Smooth,Jazz-SS-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,HipHop,F,S,Soft,HipHop-FS-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,EDM,S,S,Hard,EDM-SS-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,HipHop,S,S,Punchy,HipHop-SS-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Rock,S,S,Soft,Rock-SS-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,HipHop,F,F,Punchy,HipHop-FF-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,F,S,Smooth,Rock-FS-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,F,S,Smooth,Jazz-FS-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,HipHop,S,S,Hard,HipHop-SS-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,F,S,Pillowy,Rock-FS-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,HipHop,S,F,Staccato,HipHop-SF-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,F,F,Hard,Jazz-FF-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,Rock,F,S,Smooth,Rock-FS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,EDM,S,S,Hard,EDM-SS-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,S,S,Staccato,Rock-SS-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Rock,F,S,Pillowy,Rock-FS-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,EDM,F,F,Hard,EDM-FF-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,EDM,S,S,Staccato,EDM-SS-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Rock,F,S,Soft,Rock-FS-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,Jazz,S,S,Staccato,Jazz-SS-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,HipHop,F,S,Punchy,HipHop-FS-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,HipHop,F,S,Pillowy,HipHop-FS-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,EDM,S,F,Punchy,EDM-SF-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,EDM,F,S,Punchy,EDM-FS-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Rock,S,F,Soft,Rock-SF-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,S,S,Hard,Jazz-SS-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,Rock,F,S,Smooth,Rock-FS-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Jazz,S,F,Smooth,Jazz-SF-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,Jazz,S,S,Pillowy,Jazz-SS-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Rock,S,S,Smooth,Rock-SS-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,HipHop,F,S,Staccato,HipHop-FS-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,Jazz,F,S,Smooth,Jazz-FS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,EDM,F,F,Soft,EDM-FF-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Rock,S,S,Soft,Rock-SS-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Rock,F,S,Punchy,Rock-FS-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,Jazz,S,F,Smooth,Jazz-SF-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Rock,F,F,Punchy,Rock-FF-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,HipHop,F,S,Hard,HipHop-FS-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,F,F,Hard,Jazz-FF-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,EDM,F,F,Smooth,EDM-FF-Descriptor
NmOuFCtszASjDfbNuwSo2kSdGfqwlnc8,HipHop,F,S,Soft,HipHop-FS-Descriptor
xGr4z6KthPk49eqCsOdXPrHsZualOJCl,EDM,S,S,Punchy,EDM-SS-Descriptor
6dOrgEhrxQu7pbEfArZA4vaF2detIxVO,Rock,F,S,Smooth,Rock-FS-Descriptor
u7ob6Gt9cjE6EpfOZg92muuWKGWcQ64l,Jazz,F,F,Smooth,Jazz-FF-Descriptor
eE9zrnWjgnthRvkn0iNBaOesAOoYowFC,Jazz,F,S,Smooth,Jazz-FS-Descriptor
ODIfHTGZIOIv3N2jlSo6PoZT9emfQxLF,Jazz,S,S,Hard,Jazz-SS-Descriptor
sUGJwfGsmGS5VoMOipStmi1hVt5OScvk,EDM,S,F,Punchy,EDM-SF-Descriptor
qzMyrS25mXgblkNYKbePZ9SWqfYMJt29,Rock,S,S,Punchy,Rock-SS-Descriptor
mscg8jEXJgOFNMOtuXZYkTx3spNqLr88,EDM,S,F,Soft,EDM-SF-Descriptor
JXxsSqjdbXbOBMN5kMsFNCC1vbbHdPdW,Jazz,F,S,Punchy,Jazz-FS-Descriptor
7vF2nCBKM745OiIuPJiSRRcmj3VG3vab,Rock,F,F,Punchy,Rock-FF-Descriptor
5L9Zh7tvXneNOSlGfwiltXaSoXdF5uXb,EDM,S,S,Punchy,EDM-SS-Descriptor
8kKbpaRYt514b88m8wEO3113wN7vXpO6,EDM,S,S,Staccato,EDM-SS-Descriptor
5i4qoskuOSJUstCEt4xAxLtTDLGzIKDO,Jazz,S,F,Smooth,Jazz-SF-Descriptor
TUafAIfPAjnyCxp32hFeWPYSY0Bzv6no,Jazz,F,S,Hard,Jazz-FS-Descriptor
uCuG40jWPL6SF9UlewQVr6ZQ9uMqdztI,HipHop,F,S,Soft,HipHop-FS-Descriptor
LeHETAMllNY3n0GQzlEttPZezkbgskFe,Jazz,F,S,Staccato,Jazz-FS-Descriptor
iUEzd2lfeSM9RejdxwrHdy2HtdwoQS69,HipHop,S,F,Hard,HipHop-SF-Descriptor
OwXwQHmfTpvJm1VW5uWWWUmXJUJVrpUg,Jazz,S,S,Smooth,Jazz-SS-Descriptor
AvChfKd0lXAHWApDasbDgngf45ITy059,EDM,F,S,Soft,EDM-FS-Descriptor
